OBJECTID,A_NUMBER,A_TYPE,A_DATE,A_STATUS,A_STATUS_DATE,A_PROJECT_NAME,A_DESCRIPTION,A_USER_ID,A_CASE_PLANNER,CODE,DESCR,CODE_1,DESCR_1,USER_NAME,EMAIL,ORIG_FID,CreationDate,Creator,EditDate,Editor,x,y
14475,D1000003,PL_MINSP,1/4/2010 1:57:23 PM,APP,3/12/2010 11:06:13 AM,Verizon South - 1030-121,"Modification of existing parking lot for 151,198 square feet office facility to add new loading areas, relocate trash handling facilities and modify parking layout by reducing spaces on 10.4 acres",TDANNER,GSHERRON,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,14475,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030435.30788386,832983.28320311
14483,D2100132,PL_MINSP,5/12/2021 8:35:07 AM,APP,12/28/2021 12:57:11 PM,Olive Branch Reserve,350 Single Family and Townhome Units,KIMRO,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,14483,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2068015.88874324,800460.246484354
14485,D2200406,PL_MINSP,11/22/2022 8:43:31 AM,APP,5/16/2024 10:34:19 AM,First Presbyterian Church of Durham ,Building expansion of exsisting church with accessory landscape features ,TREYFI,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,14485,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030308.03405572,816757.909765601
14490,D1000028,PL_SSP_SM,2/8/2010 8:04:34 AM,APP,3/17/2010 10:30:38 AM,The Hills at Southpoint (Phasing Plan Only),"Adjustment to phasing line zoned PDR 2.0, Suburban Tier, Cape Fear River Basin and in F/J-B",TBUTLER,GSHERRON,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,14490,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2017536.95593072,777654.694921851
14494,COA1400015,PL_MJ_COA,1/29/2014 11:15:57 AM,APP,3/21/2014 4:59:18 PM,104 City Hall Plaza - Modifications,"Restore and renovate exterior of building including new storefront, new rear fire stair and balcony with new door and window, new roof top addition of approximately 500 square feet, and new cornice.",GSMITH,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,14494,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029758.31882136,817369.442578107
14497,D0900009,PL_SSP_SM,1/13/2009 12:52:24 PM,APP,1/14/2009 11:02:55 AM,Bridges @ Southpoint Cart Shed,Addition of 324 s.f. cart shed at existing apartment complex on 14 acres,JEANETTEBR,DDOTY,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Dennis Doty,Dennis.Doty@durhamnc.gov,14497,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2011845.32194635,787708.058203101
14498,A1600012,PL_CPAA,10/10/2016 3:07:01 PM,APP,10/19/2017 9:55:26 AM,751 REA Development,,KAMILAHALC,JWIGGINS,APP,Approved,PL_CPAA,Comprehensive Plan Map or Plan Amendment,Jacob Wiggins,jacob.wiggins@durhamnc.gov,14498,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2011625.84655572,788496.776562482
14510,COA1900012,PL_MJ_COA,2/11/2019 12:00:00 AM,APP,4/25/2019 11:36:51 AM,1218 Vickers Avenue - Addiition,"New Addition onto an existing structure:
Homeowners Dr. Vanessa Schroder and Dr. Jacob Schroder have commissioned Todd
Addison Designs, Inc. to provide new living spaces over the current main living first floor
plan by removing the current “flat” roof system and continuing the second floor living
conditions over the existing main living area. (We want to extend the second floor out
over the existing first floor, which currently has a flat roof on it).",KROSENBERG,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,14510,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025940.76843072,814313.83789061
14514,D2300187,PL_MINSP,7/26/2023 1:49:43 PM,APP,2/8/2024 1:31:09 PM,751 Watercolors Townhomes,50 townhouses on 3.75-acre parcel.,ADDMGR,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,14514,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2012565.22194636,774997.651953101
14516,D1100282,PL_MINSP,12/29/2011 10:21:34 AM,APP,1/8/2013 9:24:51 AM,Guess Road Family Fare,Demolish existing convenience store with fuel sales to rebuild a new convenience store with fuel sales.,DACIARE,LDARDEN,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,14516,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2021610.37975885,829954.003124982
14517,D2000169,PL_MINSP,7/17/2020 11:31:09 AM,APP,3/9/2021 10:25:29 AM,Morningside,"7 lot subdivision with cul-de-sac and gravel utility access road,associated grading and utlilities.",AMANDAHO,COURTNEYMC,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Courtney McQueen,Courtney.McQueen@durhamnc.gov,14517,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2006969.51139948,791793.750390604
14520,A1600010,PL_CPAA,8/9/2016 2:58:13 PM,APP,4/18/2017 9:33:42 AM,Churchill Commons,,JWIGGINS,JWIGGINS,APP,Approved,PL_CPAA,Comprehensive Plan Map or Plan Amendment,Jacob Wiggins,jacob.wiggins@durhamnc.gov,14520,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2044621.9461651,773833.042578101
14522,D1100158,PL_SSP_SM,8/18/2011 9:28:42 AM,APP,11/3/2011 10:32:33 AM,Buffalo Wild Wings- Amendment to D1100001,"Revisions including grade changes to finished floor elevations, size of building and grease trap re-location.",DACIARE,LDARDEN,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,14522,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2018771.8289776,784763.582031235
14526,D0800021,PL_SSP_SM,1/18/2008 3:16:11 PM,APP,7/28/2009 7:43:31 AM,Hills at Southpoint Northern Sign Plan,Amendment to approved plans to provide subdivision identification signs for the Hills at Southpoint,TDANNER,AKRAMER,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,14526,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2017029.24577448,775106.55664061
14537,D0800036,PL_SSP_SM,2/18/2008 7:12:21 AM,APP,3/4/2008 4:44:51 PM,Windermere SP Amendment - removal of a recombo note,42 townhome units (24 new) on 13.62 acres; remove original note #20 requiring recombination of 2 main parcels prior to building permit - 8.02 acre vacant parcel to be developed in future,DACIARE,JMORRIS,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,14537,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028492.62780572,847494.488671854
14539,D1400402,PL_SSP_SM,12/30/2014 1:35:50 PM,APP,5/4/2015 8:45:46 AM,Durham Polaris - Showroom Expansion,Construct a proposed expanded showroom on the current building and associated parking and sidewalk improvements,DACIARE,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,14539,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2061088.79538386,811132.445703104
14541,D1400116,PL_SSP_SM,4/29/2014 10:07:15 AM,APP,9/23/2014 10:14:21 AM,North Durham Water Reclamation Facility Generator Improvements,"Generator additions to existing water treatment plant on 0.83 acres of a 149.86 acre site, zoned IL and located at 1900 E Club Blvd.",TDANNER,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,14541,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2041081.20514949,828137.108203113
14544,A0800005,PL_CPAA,10/23/2008 1:33:56 PM,APP,9/8/2015 3:34:37 PM,Evaluation and Assessment Report,Annual update of the implementation of the Comprehensive Plan.,GSMITH,JCARLEY,APP,Approved,PL_CPAA,Comprehensive Plan Map or Plan Amendment,,,14544,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029936.2430401,817592.715234354
14548,D1800171,PL_MINSP,5/29/2018 10:04:42 AM,APP,11/8/2018 7:35:02 AM,"Rodriguez Glass, Inc",Construct New Workshop/ Office and Convert existing house to office,KRYSTALRA,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,14548,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2032733.02858698,789161.257031232
14555,D0800234,PL_MINSP,9/29/2008 1:04:23 PM,APP,5/21/2009 2:22:06 PM,ATC Glen Forest,120 foot monopine communication tower on 8.1 acres,JUNEMA,SHB,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Susan Harrison-Brown,Susan.Harrison-Brown@durhamnc.gov,14555,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2056938.85514948,822596.844531238
14560,D0800289,PL_MINSP,12/12/2008 10:48:54 AM,APP,3/4/2009 3:00:31 PM,Maplewood Cemetery ADA Upgrades,Addition of ADA parking space to meet federal requirements,LEEDA,DDOTY,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Dennis Doty,Dennis.Doty@durhamnc.gov,14560,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2022164.4274151,816192.938671857
14562,D1100074,PL_MINSP,4/14/2011 9:33:43 AM,APP,2/13/2012 8:20:44 AM,Sikh Gurudwara of North Carolina,700 square foot building addition for storage and HVAC addition to the existing place of worship,LEEDA,MSTOCK,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Michael Stock,Michael.Stock@durhamnc.gov,14562,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2032813.8680401,830921.064062476
14570,D2000198,PL_MINSP,8/18/2020 10:50:54 AM,APP,6/21/2021 10:05:49 PM,Arringdon Lot 3 Preliminary Plat Amendment,"Proposed increase from 59 to 65 townhomes, new elevations, roads changed to driveways, utility easement changes, landscape changes, parking and open space changes, storm layout changes",JESSICADO,COURTNEYMC,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Courtney McQueen,Courtney.McQueen@durhamnc.gov,14570,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2050982.95280573,776518.555468738
14574,D1500097,PL_SSP_SM,4/21/2015 2:01:30 PM,APP,7/9/2015 2:00:25 PM,Ponysaurus Brewery Renovations and Patio,"Interior renovations associatedf with new kitchen, restrooms and seating area. New patio, deck, and accessible walkway on south side of existing building.",DACIARE,BDOBRZENSKI,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Bo Dobrzenski,Bo.Dobrzenski@durhamnc.gov,14574,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030979.92624323,815118.906640604
14575,D2100014,PL_MINSP,1/21/2021 11:50:01 AM,APP,7/1/2021 11:13:28 AM,318 W Corporation,High density residential (82 apartments) with retail space,JESSICADO,COURTNEYMC,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Courtney McQueen,Courtney.McQueen@durhamnc.gov,14575,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029727.58639948,819714.355859354
14577,D0900199,PL_MINSP,8/17/2009 10:58:25 AM,APP,3/1/2010 10:16:24 AM,Merck QO Lab Phase 2," A 42,542 square foot manufacturing addition to an existing industrial facility on a 117.40 acre portion of a 257.83 acre site zoned IL and F/J-B ",BRYANTGR,GSHERRON,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,14577,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2045935.84694636,858353.54101561
14585,D1800138,PL_MINSP,5/2/2018 1:04:15 PM,APP,2/19/2019 8:20:42 AM,Duke University Chiller Plant no 3,"Construction of a 3rd chiller plant on campus and high voltage building, with associated hardscape and utilities.",JESSICADO,JESSICADO,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Jessica Dockery,Jessica.Dockery@durhamnc.gov,14585,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2020913.40632136,819942.562499985
14587,Z1800033,D_REZ,11/15/2018 11:27:25 AM,APP,6/29/2020 9:43:22 AM,Bethpage Office,Request is for a general use zoning of the subject property. From IL(D) to OI. 5621 Chin Page Road and 3824 Page Road (portion). 23.06 acres. No development plan. See also FLUM amendment A1800009.,ADDMGR,EMILYST,APP,Approved,D_REZ,Zoning Map Change,Emily Struthers,Emily.Struthers@durhamnc.gov,14587,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2051302.34108698,780922.308203101
14612,D1200300,PL_SSP_SM,11/15/2012 9:05:14 AM,APP,12/14/2012 4:19:01 PM,Hope Valley Commons Building 'X' Revision,Remove dumpster from behind Building X and replace with gravel surface.,JEANETTEBR,LHODGES,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,14612,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2011590.29264948,788832.596874982
14618,D0800049,PL_MINSP,3/13/2008 10:16:54 AM,APP,1/13/2010 2:42:14 PM,Warehouse & Office Facility,"10,300 square foot warehouse/office with ten parking spaces on 2.03 acres",LEEDA,SHB,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Susan Harrison-Brown,Susan.Harrison-Brown@durhamnc.gov,14618,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2037774.59264947,838633.209765613
14620,D1100106,PL_SSP_SM,5/26/2011 10:30:18 AM,APP,9/28/2011 3:05:50 PM,E.K. Powe Elementary School Renovations,"Addition of sidewalk and ramps for ADA access, repair of sidewalks, fences, and pavement. Additional playground equipment. ",DACIARE,MSTOCK,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Michael Stock,Michael.Stock@durhamnc.gov,14620,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2022924.22038385,823620.700781226
14635,COA0800054,PL_MJ_COA,10/1/2008 10:04:57 AM,AP_CON,11/4/2008 11:47:56 AM,2120 Englewood Avenue Screened Porch and Deck,"Addition to the rear of the house, consisting of a screened porch and a deck",SCRUSE,,AP_CON,Approved With Conditions,PL_MJ_COA,Major COA,,,14635,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2021499.56725885,824767.026562482
14641,Z1300024,D_REZ,8/26/2013 1:54:03 PM,APP,2/10/2014 9:53:33 AM,Croasdaile Commons,"109,400 SF shopping center",JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,14641,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2018792.26843072,830888.866015613
14643,D0800238,PL_SSP_SM,10/7/2008 3:46:42 PM,APP,10/7/2008 3:51:43 PM,Leadersip Data Center Chillers at IBM RTP,Addition of chillers to existing research facility on 396 acres,JUSTINH,DDOTY,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Dennis Doty,Dennis.Doty@durhamnc.gov,14643,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2042328.16296197,787459.261328101
14646,D0900251,PL_SSP_SM,11/16/2009 8:49:20 AM,APP,12/7/2009 2:48:17 PM,Wyndmoor at the Park - Phasing Plan,added a phase 3 line on White Spruce Court between Lot 12 and 26 ,GSHERRON,GSHERRON,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,14646,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2035078.01843072,798598.514843732
14647,Z1900012,D_REZ,4/8/2019 12:00:00 AM,APP,5/20/2021 6:38:32 PM,1101 Olive Branch Road,"Rezoning from RR to PDR 2.70 for single and multi-family development up to 448 units.  Associated FLUM amendment (A1900006)

06/13/2019: A 60 day extension of time was granted.
08/19/2019:  A 60 day extension of time was granted.",KIMRO,JAMIESUN,APP,Approved,D_REZ,Zoning Map Change,,,14647,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2068584.14030573,804268.809374988
14655,D1500162,PL_SSP_SM,6/16/2015 1:04:44 PM,APP,4/26/2016 2:53:06 PM,935 E Main Parking Lot,11 space commercial parking lot on 0.136 acres,DACIARE,EMILYST,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Emily Struthers,Emily.Struthers@durhamnc.gov,14655,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2032598.16452448,814941.875781238
14656,COA1300090,PL_MJ_COA,7/31/2013 12:00:00 AM,APP,1/30/2014 11:11:23 AM,814 Onslow St - Modifications and Addition,Modifications and addition to building,LMILLER,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,14656,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025339.09343073,822851.37304686
14662,D2200175,PL_MINSP,5/26/2022 12:18:07 PM,APP,8/12/2022 3:25:21 PM,B 10 CG Expansion Amendment # 1,Add an additional underground electrical duct bank and three manholes. ,JUSTINH,KEAGANSA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Keagan Sacripanti,Keagan.Sacripanti@durhamnc.gov,14662,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2047515.04343073,782174.824218735
14666,D2200233,PL_MINSP,7/1/2022 3:32:07 PM,APP,4/14/2023 9:23:02 AM,Courtyards at Farrington,Proposed 64 single family homes and amenity.,COLERE,COLERE,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,14666,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2003589.05983698,791308.289843738
14668,D1900150,PL_SSP_SM,5/17/2019 12:26:12 PM,APP,9/25/2019 10:57:54 AM,Clinical Trials Manufacturing Facility,Remove ex. patio area in ex. utility courtyard and install new utilities,ADDMGR,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,14668,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2041021.28835261,773146.033984363
14669,D1200323,PL_SSP_SM,12/6/2012 4:44:39 PM,APP,6/3/2013 3:35:47 PM,The Durham Ritz,"Renovation of existing full service carwash facility to remove canopies and construct new canopy and automatic pay stations zoned CG, and located at 3639 Durham Cahpel Hill Boulevard",JEANETTEBR,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,14669,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2014538.49382135,808145.739453107
14676,D1600292,PL_MINSP,10/11/2016 9:36:18 AM,APP,10/25/2018 7:51:03 AM,Discovery Charter School,"A charter comprised of a cluster of 5 +/- 11,000 sf buildings, a series of connecting sidewalks and 80 parking spaces.",AMANDAHO,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,14676,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2033124.65788385,865875.144921854
14681,Z2100004,D_REZ,2/1/2021 12:00:00 AM,APP,7/25/2023 3:55:18 PM,Triangle Veterinary Referral Hospital,"New building, parking and landscape improvements",JOANNEG,DCULTRA,APP,Approved,D_REZ,Zoning Map Change,Danny Cultra,Danny.Cultra@durhamnc.gov,14681,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2012356.23561823,824536.382421851
14697,COA0900002,PL_MJ_COA,1/27/2009 12:00:00 AM,APP,3/4/2009 10:04:28 AM,DDI and City of Durham Information and Directional Kiosks,Placement of eleven information and directional kiosks in the Downtown Historic District ,AWADDELL,,APP,Approved,PL_MJ_COA,Major COA,,,14697,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028868.21999323,817990.743749976
14699,D1000111,PL_MINSP,6/9/2010 9:51:50 AM,APP,1/4/2011 2:08:19 PM,Thompson Ridge (Neal Farm),"133 townhouse lots on 48.71 tract zoned RS-M, Neuse & Cape Fear River Basin, Suburban Tier. ",JEANETTEBR,GSHERRON,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,14699,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2009476.12546198,826403.39257811
14705,D1200254,PL_MINSP,10/11/2012 10:58:00 AM,APP,9/27/2013 5:23:22 PM,Family Fare -  3921 Fayetteville Street,Redevelop former Dillards BBQ to convenience store with fuel sales. ,JEANETTEBR,LDARDEN,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,14705,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028680.64069636,800918.476171851
14710,D1700182,PL_MINSP,5/30/2017 3:13:44 PM,APP,2/19/2018 11:45:13 AM,Sandy Creek Park Boardwalk,2 new boardwalks in existing public park.,JESSICADO,JESSICADO,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Jessica Dockery,Jessica.Dockery@durhamnc.gov,14710,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2009267.1305401,807805.406249985
14720,D2400078,PL_MINSP,4/8/2024 1:50:55 PM,COM,1/13/2025 2:09:40 PM,HUB RTP Event Stage,Outdoor event stage with sidewalk conections and associated storm drainage.,PEYTONBL,PEYTONBL,COM,Complete,PL_MINSP,Level 4 - Administrative Site Plan,PEYTON BLANCHARD,PEYTON.BLANCHARD@DURHAMNC.GOV,14720,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2040139.63600886,780351.26757811
14724,D0800010,PL_MINSP,1/2/2008 1:12:13 PM,APP,10/13/2009 1:57:36 PM,Duke Rowing Facility,"3,984 s.f. storage building (boathouse) on  42.69 acres (replacement of existing 3,180 s.f. building) on 42.69 acres",TDANNER,DDOTY,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Dennis Doty,Dennis.Doty@durhamnc.gov,14724,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2042777.99538386,880703.248828113
14730,D1600140,PL_MAJSP,5/17/2016 2:27:35 PM,APP,1/10/2017 3:12:47 PM,Duke Health New Bed Addition,Addition to Duke University Hospital (Duke North) and supporting services.,RACHELHA,DCULTRA,APP,Approved,PL_MAJSP,Major Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,14730,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2017341.3571026,819236.326953113
14736,D1100186,PL_SSP_SM,9/27/2011 9:09:14 AM,APP,2/28/2012 1:21:50 PM,"Treyburn Walking Trail, Phase 4B","Construction of 312 linear feet of a six foot wide asphalt, multi-surface path; 170 linear feet of a 10 foot wide boardwalk; erosion control;  minor stormwater device; and paving",BRYANTGR,MSTOCK,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Michael Stock,Michael.Stock@durhamnc.gov,14736,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2045935.84694636,858353.54101561
14741,Z2200043,D_REZ,8/10/2022 12:00:00 AM,DEN,4/16/2024 6:28:35 PM,Wake Olive Apartments,Up to 218 Apartments in buildings not to exceed 4 stories in height. Associated with BDG2200023.,JOANNEG,,DEN,Denied,D_REZ,Zoning Map Change,,,14741,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2063331.99147761,810700.63476561
14745,D1300307,PL_SSP_SM,10/22/2013 1:25:03 PM,APP,3/25/2014 5:41:57 PM,Ninth Street Commercial Neighborhood Amendment,737 9th St. Patio modifications; Sidewalk modifications; Bicycle parking locations.,LHODGES,LHODGES,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,14745,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2022466.30319636,822481.749999985
14755,D2000287,PL_MINSP,11/24/2020 12:04:13 PM,APP,7/12/2021 2:55:54 PM,Farrington Multi- Family,250 unit Apartment complex,KYLEPH,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,14755,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2004043.10905573,789095.966406226
14771,Z2000028,D_REZ,6/11/2020 12:00:00 AM,APP,10/12/2021 1:37:21 PM,1051 Olive Branch ,Single and Multi-Family Townhome Development. Associated with A2000014 and BDG2000016.,GSMITH,DCULTRA,APP,Approved,D_REZ,Zoning Map Change,Danny Cultra,Danny.Cultra@durhamnc.gov,14771,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2066362.01999323,805017.575781226
14773,Z1700020,D_REZ,5/12/2017 3:53:39 PM,APP,2/27/2018 9:54:40 AM,Red Mill Quick Stop,A request to rezone a parcel from CN to CG(D). Located in County's jursdiction. Plan Amendment also required and has been submitted,JOANNEG,JWIGGINS,APP,Approved,D_REZ,Zoning Map Change,Jacob Wiggins,jacob.wiggins@durhamnc.gov,14773,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2054868.09264947,835411.128124982
14774,D1200081,PL_SSP_SM,5/3/2012 9:39:57 AM,APP,8/9/2012 7:23:17 AM,Weston Downs Phase 2 Amendment,Removal of existing alley (20' public R/W) and its associated impervious surface so the site plan will match construction drawings.  Site Plan signed 7-20-2012.  Expiration 3-6-2014 based on SB831.,JEANETTEBR,GSHERRON,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,14774,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2001150.26179011,794301.200390607
14776,D1000096,PL_SSP_SM,5/24/2010 3:18:09 PM,APP,7/22/2010 3:11:58 PM,Duke Gardens Pump House Addition,680 square foot addition to existing pump house at Duke Gardens,JEANETTEBR,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,14776,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2015697.85632135,817927.700781226
